gene_id,Adipose_Aggregate,Brain_Aggregate,Heart_Aggregate,Liver,Muscle_Skeletal
ENSG00000248962,0.002586303,0.000405926,0.000823257,0,0.000186737
ENSG00000249994,0.011654113,0.006517936,0.004539045,0.001209336,0.002323773
ENSG00000250921,0.019841035,0.010030084,0.001074107,0,0.001284869
ENSG00000260763,0.00171186,0.001402153,0.002530883,0.000877527,0.000602704
ENSG00000248973,0.003585185,0.000872527,0.001089912,0.002199159,0.00186995
ENSG00000231291,0.000322481,0.000286229,0.000308277,0,0.000183026
ENSG00000251371,0.000558401,0.000192916,0,0.000268938,0.000523661
ENSG00000249521,0.000633598,0.000394858,0.000311857,0,0.000932814
ENSG00000248311,0.002466035,0.001441505,0.001314668,0,0.001797746
ENSG00000248467,0.001648131,0.000318868,0.00010838,0.001363274,0.001124458
ENSG00000249941,0.003806975,0.000390051,9.13E-05,0.001259735,0.000236102
ENSG00000251506,0.000836901,0.000355653,0.000212799,0,0.001298132
ENSG00000250481,0.00068478,0.000470987,0.000133269,0,0.000353524
ENSG00000215231,0.001933383,0.00055138,0.000349409,0.000276327,0.000694346
